work_id,mp_name,state,district,work_category,sanctioned_amount,released_amount,status,vendor,implementing_agency,ensemble_score,network_risk_flag,top_flag_reasons,flagged_by_model
MPLADS-101244,MP_CHH_2,Chhattisgarh,Raipur,Anganwadi Center Construction,1962000,1906423,Completed,Vendor Pvt Ltd 2,Implementing Agency 39,0.4987593302495692,0,"no_photo_flag, days_sanction_to_completion, desc_generic_flag",True
MPLADS-101225,MP_DAM_3,Daman & Diu,Diu,Road Construction/Repair,4920000,1710607,Completed,Vendor Pvt Ltd 98,Implementing Agency 31,0.49659970962570293,0,"no_photo_flag, days_rec_to_sanction, days_sanction_to_completion",True
MPLADS-100826,MP_ODI_2,Odisha,Bhubaneswar,Solar Power Installation,734000,698655,Completed,Vendor Pvt Ltd 91,Implementing Agency 54,0.49584846357435175,0,"no_photo_flag, days_sanction_to_completion, amount_zscore_in_category",True
MPLADS-101550,MP_TRI_1,Tripura,Agartala,Drinking Water Supply,500000,0,Sanctioned,Vendor Pvt Ltd 27,Implementing Agency 37,0.48812229593275885,0,"is_round_amount, days_rec_to_sanction, amount_zscore_in_category",True
MPLADS-103971,MP_GUJ_1,Gujarat,Ahmedabad,Solar Power Installation,504000,532529,Completed,Vendor Pvt Ltd 105,Implementing Agency 57,0.4875273865013995,0,"over_release_flag, days_sanction_to_completion, desc_generic_flag",True
MPLADS-105692,MP_DAD_3,Dadara & Nagar Havelli,Silvassa,Sanitation/Toilets,700000,351007,In Progress,Vendor Pvt Ltd 79,Implementing Agency 12,0.4855804787697581,0,"is_round_amount, days_rec_to_sanction, days_sanction_to_completion",True
MPLADS-105622,MP_TAM_3,Tamil Nadu,Chennai,Irrigation Facility,989000,0,Sanctioned,Vendor Pvt Ltd 6,Implementing Agency 50,0.48188243245679174,0,"days_rec_to_sanction, amount_zscore_in_category, release_ratio",True
MPLADS-105356,MP_GUJ_2,Gujarat,Vadodara,Road Construction/Repair,6409000,6087947,Completed,Vendor Pvt Ltd 24,Implementing Agency 43,0.47899563276391577,1,"no_photo_flag, days_rec_to_sanction, desc_generic_flag",True
MPLADS-100080,MP_SIK_2,Sikkim,Namchi,CCTV Installation,3658253,2232768,Completed,Vendor Pvt Ltd 1,Implementing Agency 25,0.4789848987512989,1,"amount_zscore_in_category, desc_generic_flag, days_sanction_to_completion",True
MPLADS-104745,MP_WES_5,West Bengal,Howrah,Sanitation/Toilets,1500000,0,Sanctioned,Vendor Pvt Ltd 115,Implementing Agency 25,0.4777080342079252,0,"is_round_amount, desc_generic_flag, release_ratio",True
MPLADS-105624,MP_RAJ_4,Rajasthan,Jaipur,Road Construction/Repair,8025000,4686967,Completed,Vendor Pvt Ltd 103,Implementing Agency 26,0.4763460086528022,0,"no_photo_flag, days_rec_to_sanction, amount_zscore_in_category",True
MPLADS-103317,MP_JAM_4,Jammu & Kashmir,Srinagar,Sanitation/Toilets,434000,424555,Completed,Vendor Pvt Ltd 54,Implementing Agency 49,0.4742929355751565,0,"no_photo_flag, days_sanction_to_completion, desc_generic_flag",True
MPLADS-102761,MP_CHH_2,Chhattisgarh,Raipur,Sports Infrastructure,1855000,1754253,Completed,Vendor Pvt Ltd 68,Implementing Agency 33,0.46900553432409436,0,"no_photo_flag, days_rec_to_sanction, desc_generic_flag",True
MPLADS-101554,MP_JAM_2,Jammu & Kashmir,Srinagar,Railway Halt Amenities,1941000,2266182,Sanctioned,Vendor Pvt Ltd 43,Implementing Agency 31,0.4621541957671156,0,"over_release_flag, days_rec_to_sanction, release_ratio",True
MPLADS-100430,MP_BIH_2,Bihar,Bhagalpur,Irrigation Facility,1710000,1633744,Completed,Vendor Pvt Ltd 59,Implementing Agency 34,0.4605433270250509,0,"no_photo_flag, days_rec_to_sanction, desc_generic_flag",True
MPLADS-104159,MP_JHA_2,Jharkhand,Jamshedpur,School Infrastructure,9453204,5273929,Completed,Vendor Pvt Ltd 1,Implementing Agency 14,0.46020341950156185,1,"amount_zscore_in_category, days_rec_to_sanction, desc_generic_flag",True
MPLADS-102845,MP_JAM_4,Jammu & Kashmir,Jammu,Street Lighting,1900000,1831693,Completed,Vendor Pvt Ltd 77,Implementing Agency 52,0.45355641735252933,0,"is_round_amount, desc_generic_flag, days_sanction_to_completion",True
MPLADS-104918,MP_MIZ_1,Mizoram,Lunglei,School Infrastructure,2647000,2619371,Completed,Vendor Pvt Ltd 10,Implementing Agency 41,0.44934919946750285,0,"no_photo_flag, days_sanction_to_completion, release_ratio",True
MPLADS-105555,MP_ARU_2,Arunanchal Pradesh,Tawang,Library/Reading Room,1000000,931305,Completed,Vendor Pvt Ltd 55,Implementing Agency 42,0.4470105495679733,0,"is_round_amount, days_sanction_to_completion, desc_generic_flag",True
MPLADS-102447,MP_TRI_4,Tripura,Agartala,Road Construction/Repair,7100000,6826179,Completed,Vendor Pvt Ltd 115,Implementing Agency 42,0.4452049331470906,0,"is_round_amount, days_sanction_to_completion, desc_generic_flag",True
MPLADS-102704,MP_RAJ_5,Rajasthan,Jaipur,Anganwadi Center Construction,2737946,1619121,Completed,Vendor Pvt Ltd 1,Implementing Agency 43,0.44432308920654007,1,"amount_zscore_in_category, desc_generic_flag, days_sanction_to_completion",True
MPLADS-101038,MP_ODI_3,Odisha,Cuttack,CCTV Installation,3139531,1687430,Completed,Vendor Pvt Ltd 1,Implementing Agency 25,0.44255383260351056,1,"amount_zscore_in_category, days_sanction_to_completion, desc_generic_flag",True
MPLADS-100322,MP_HIM_4,Himachal Pradesh,Shimla,Anganwadi Center Construction,1000000,946976,Completed,Vendor Pvt Ltd 14,Implementing Agency 42,0.44237570077795013,0,"is_round_amount, days_sanction_to_completion, days_rec_to_sanction",True
MPLADS-101699,MP_MAH_2,Maharashtra,Nagpur,Anganwadi Center Construction,1500000,471872,In Progress,Vendor Pvt Ltd 83,Implementing Agency 11,0.442236515360046,0,"is_round_amount, desc_generic_flag, days_rec_to_sanction",True
MPLADS-101791,MP_UTT_1,Uttar Pradesh,Varanasi,Anganwadi Center Construction,926000,870121,Completed,Vendor Pvt Ltd 79,Implementing Agency 49,0.4408946176058552,0,"no_photo_flag, days_rec_to_sanction, desc_generic_flag",True
MPLADS-102124,MP_NAG_2,Nagaland,Kohima,Anganwadi Center Construction,2487767,0,Sanctioned,Vendor Pvt Ltd 1,Implementing Agency 47,0.4393775514556315,1,"amount_zscore_in_category, release_ratio, days_sanction_to_completion",True
MPLADS-100240,MP_HIM_2,Himachal Pradesh,Shimla,CCTV Installation,364000,349020,Completed,Vendor Pvt Ltd 105,Implementing Agency 26,0.43906582080522083,0,"no_photo_flag, days_sanction_to_completion, amount_zscore_in_category",True
MPLADS-103084,MP_PUN_3,Punjab,Ludhiana,Health Facility Upgrade,6276000,5807199,Completed,Vendor Pvt Ltd 119,Implementing Agency 2,0.43860667300496725,0,"no_photo_flag, days_rec_to_sanction, amount_zscore_in_category",True
MPLADS-104451,MP_WES_3,West Bengal,Malda,Street Lighting,1400000,463255,In Progress,Vendor Pvt Ltd 91,Implementing Agency 57,0.4365151852466354,0,"is_round_amount, desc_generic_flag, days_rec_to_sanction",True
MPLADS-105239,MP_RAJ_1,Rajasthan,Kota,Community Hall Construction,1210000,1432353,Completed,Vendor Pvt Ltd 63,Implementing Agency 35,0.4354458829751191,0,"over_release_flag, desc_generic_flag, days_sanction_to_completion",True
MPLADS-102933,MP_UTT_2,Uttar Pradesh,Agra,Anganwadi Center Construction,785000,773375,Completed,Vendor Pvt Ltd 66,Implementing Agency 7,0.43401474369526283,0,"no_photo_flag, days_sanction_to_completion, desc_generic_flag",True
MPLADS-100199,MP_ODI_1,Odisha,Cuttack,Street Lighting,265000,0,Completed,Vendor Pvt Ltd 52,Implementing Agency 41,0.43329669241238067,0,"no_photo_flag, desc_generic_flag, release_ratio",True
MPLADS-101837,MP_MAH_1,Maharashtra,Pune,Sanitation/Toilets,900000,508405,In Progress,Vendor Pvt Ltd 80,Implementing Agency 10,0.43208436550022844,0,"is_round_amount, desc_generic_flag, days_rec_to_sanction",True
MPLADS-100157,MP_DAD_5,Dadara & Nagar Havelli,Silvassa,Library/Reading Room,3207700,0,Recommended,Vendor Pvt Ltd 1,Implementing Agency 55,0.4316318705483876,1,"amount_zscore_in_category, release_ratio, days_rec_to_sanction",True
MPLADS-100093,MP_BIH_2,Bihar,Muzaffarpur,Street Lighting,300000,289752,Completed,Vendor Pvt Ltd 1,Implementing Agency 53,0.4315853344845073,1,"is_round_amount, days_sanction_to_completion, amount_zscore_in_category",True
MPLADS-103776,MP_TEL_4,Telangana,Hyderabad,Library/Reading Room,2158000,2070203,Completed,Vendor Pvt Ltd 91,Implementing Agency 17,0.43132328801778436,0,"no_photo_flag, days_sanction_to_completion, days_rec_to_sanction",True
MPLADS-101209,MP_UTT_3,Uttarakhand,Dehradun,School Infrastructure,816000,766681,Completed,Vendor Pvt Ltd 16,Implementing Agency 18,0.4293887330558568,0,"no_photo_flag, days_sanction_to_completion, amount_zscore_in_category",True
MPLADS-102097,MP_TEL_5,Telangana,Hyderabad,Anganwadi Center Construction,740000,722109,Completed,Vendor Pvt Ltd 81,Implementing Agency 3,0.42810541378731554,0,"no_photo_flag, days_sanction_to_completion, desc_generic_flag",True
MPLADS-100469,MP_ODI_2,Odisha,Bhubaneswar,CCTV Installation,2500000,2289091,Completed,Vendor Pvt Ltd 7,Implementing Agency 2,0.42646210353066566,0,"is_round_amount, days_sanction_to_completion, amount_zscore_in_category",True
MPLADS-101892,MP_JHA_1,Jharkhand,Ranchi,Street Lighting,190000,185504,Completed,Vendor Pvt Ltd 13,Implementing Agency 50,0.42511819938798256,0,"days_sanction_to_completion, desc_generic_flag, amount_zscore_in_category",True
MPLADS-103066,MP_CHH_1,Chhattisgarh,Raipur,Anganwadi Center Construction,1895000,814418,Completed,Vendor Pvt Ltd 120,Implementing Agency 48,0.4248713786868763,0,"no_photo_flag, desc_generic_flag, amount_zscore_in_category",True
MPLADS-104649,MP_UTT_2,Uttar Pradesh,Agra,Anganwadi Center Construction,707000,697968,Completed,Vendor Pvt Ltd 73,Implementing Agency 59,0.4231790918303667,0,"no_photo_flag, days_rec_to_sanction, desc_generic_flag",True
MPLADS-102981,MP_WES_2,West Bengal,Malda,Community Hall Construction,860000,860000,Completed,Vendor Pvt Ltd 42,Implementing Agency 14,0.4207181956686211,0,"no_photo_flag, desc_generic_flag, amount_zscore_in_category",True
MPLADS-104224,MP_RAJ_2,Rajasthan,Udaipur,Irrigation Facility,1265000,1253201,Completed,Vendor Pvt Ltd 79,Implementing Agency 12,0.42069370686715485,0,"no_photo_flag, days_sanction_to_completion, amount_zscore_in_category",True
MPLADS-100960,MP_LAK_2,Lakshadweep,Kavaratti,Solar Power Installation,2941000,0,Completed,Vendor Pvt Ltd 63,Implementing Agency 26,0.42021729736745367,0,"no_photo_flag, release_ratio, days_rec_to_sanction",True
MPLADS-104318,MP_NAG_3,Nagaland,Kohima,Street Lighting,1163000,1083333,Completed,Vendor Pvt Ltd 118,Implementing Agency 39,0.4201727222800936,0,"no_photo_flag, days_sanction_to_completion, desc_generic_flag",True
MPLADS-105091,MP_WES_5,West Bengal,Malda,Sanitation/Toilets,1017000,1112236,Completed,Vendor Pvt Ltd 75,Implementing Agency 33,0.41988294056098613,0,"over_release_flag, days_sanction_to_completion, desc_generic_flag",True
MPLADS-102669,MP_MIZ_1,Mizoram,Aizawl,Sanitation/Toilets,771000,759048,Completed,Vendor Pvt Ltd 43,Implementing Agency 19,0.41976321090819346,0,"no_photo_flag, days_sanction_to_completion, desc_generic_flag",True
MPLADS-102918,MP_BIH_2,Bihar,Muzaffarpur,CCTV Installation,300000,294351,Completed,Vendor Pvt Ltd 90,Implementing Agency 39,0.419574156634846,0,"is_round_amount, desc_generic_flag, amount_zscore_in_category",True
MPLADS-100168,MP_KAR_1,Karnataka,Belagavi,Health Facility Upgrade,6760000,7893531,Completed,Vendor Pvt Ltd 102,Implementing Agency 4,0.41514998763578126,1,"over_release_flag, desc_generic_flag, amount_zscore_in_category",True
MPLADS-100177,MP_UTT_3,Uttarakhand,Dehradun,Sanitation/Toilets,1885798,866670,In Progress,Vendor Pvt Ltd 1,Implementing Agency 19,0.41513239144397374,1,"days_rec_to_sanction, amount_zscore_in_category, desc_generic_flag",True
MPLADS-100417,MP_JAM_4,Jammu & Kashmir,Jammu,Solar Power Installation,978000,906491,Completed,Vendor Pvt Ltd 21,Implementing Agency 28,0.41473019814660106,0,"days_sanction_to_completion, days_rec_to_sanction, amount_zscore_in_category",True
MPLADS-103707,MP_AND_1,Andhra Pradesh,Visakhapatnam,Sports Infrastructure,1800000,900000,In Progress,Vendor Pvt Ltd 98,Implementing Agency 3,0.41409368891889886,0,"is_round_amount, days_rec_to_sanction, days_sanction_to_completion",True
MPLADS-104202,MP_ODI_4,Odisha,Cuttack,Sports Infrastructure,3457000,3402303,Completed,Vendor Pvt Ltd 6,Implementing Agency 16,0.41327227102920594,0,"no_photo_flag, days_sanction_to_completion, days_rec_to_sanction",True
MPLADS-101334,MP_NAG_2,Nagaland,Dimapur,Street Lighting,1000000,428471,In Progress,Vendor Pvt Ltd 24,Implementing Agency 8,0.4123652268412623,0,"is_round_amount, desc_generic_flag, days_sanction_to_completion",True
MPLADS-103745,MP_MIZ_3,Mizoram,Lunglei,Sanitation/Toilets,1142000,0,Completed,Vendor Pvt Ltd 108,Implementing Agency 56,0.41209955037939106,0,"no_photo_flag, desc_generic_flag, release_ratio",True
MPLADS-101679,MP_MAD_3,Madhya Pradesh,Indore,Library/Reading Room,490000,0,Sanctioned,Vendor Pvt Ltd 104,Implementing Agency 39,0.41063007750449576,0,"days_rec_to_sanction, desc_generic_flag, release_ratio",True
MPLADS-103838,MP_HAR_1,Haryana,Gurugram,Sanitation/Toilets,1200000,702842,In Progress,Vendor Pvt Ltd 47,Implementing Agency 6,0.41011023677246156,0,"is_round_amount, desc_generic_flag, amount_zscore_in_category",True
MPLADS-102118,MP_TAM_2,Tamil Nadu,Chennai,Drinking Water Supply,3700000,3575957,Completed,Vendor Pvt Ltd 4,Implementing Agency 52,0.40747748146499485,0,"is_round_amount, desc_generic_flag, days_sanction_to_completion",True
MPLADS-101921,MP_ODI_3,Odisha,Bhubaneswar,Street Lighting,429000,428704,Completed,Vendor Pvt Ltd 66,Implementing Agency 39,0.40724504843536863,0,"no_photo_flag, desc_generic_flag, days_sanction_to_completion",True
MPLADS-104408,MP_TAM_3,Tamil Nadu,Chennai,Solar Power Installation,3271000,3170655,Completed,Vendor Pvt Ltd 7,Implementing Agency 5,0.4060873089948194,0,"no_photo_flag, desc_generic_flag, days_sanction_to_completion",True
MPLADS-104678,MP_DAM_1,Daman & Diu,Daman,Railway Halt Amenities,3422000,3401880,Completed,Vendor Pvt Ltd 101,Implementing Agency 28,0.40595814770910904,0,"no_photo_flag, days_sanction_to_completion, days_rec_to_sanction",True
MPLADS-102718,MP_TEL_4,Telangana,Warangal,Road Construction/Repair,8460000,8444603,Completed,Vendor Pvt Ltd 60,Implementing Agency 45,0.40458634779478986,0,"no_photo_flag, desc_generic_flag, days_sanction_to_completion",True
MPLADS-104885,MP_WES_4,West Bengal,Malda,CCTV Installation,2091000,1929208,Completed,Vendor Pvt Ltd 81,Implementing Agency 13,0.4035543963129965,0,"no_photo_flag, days_sanction_to_completion, amount_zscore_in_category",True
MPLADS-104947,MP_BIH_1,Bihar,Bhagalpur,Anganwadi Center Construction,1490000,1378411,Completed,Vendor Pvt Ltd 62,Implementing Agency 55,0.39984479564018277,0,"no_photo_flag, desc_generic_flag, days_sanction_to_completion",True
MPLADS-104586,MP_MIZ_3,Mizoram,Aizawl,Sports Infrastructure,4539000,4428036,Completed,Vendor Pvt Ltd 61,Implementing Agency 47,0.39960317881631235,0,"no_photo_flag, days_sanction_to_completion, amount_zscore_in_category",True
MPLADS-101393,MP_UTT_2,Uttarakhand,Dehradun,Street Lighting,1182000,1180139,Completed,Vendor Pvt Ltd 89,Implementing Agency 40,0.39898371649848996,0,"no_photo_flag, desc_generic_flag, days_sanction_to_completion",True
MPLADS-103793,MP_KER_1,Kerala,Kochi,Irrigation Facility,5144000,4903221,Completed,Vendor Pvt Ltd 9,Implementing Agency 45,0.39845751360415116,0,"no_photo_flag, days_rec_to_sanction, release_ratio",True
MPLADS-104034,MP_LAK_4,Lakshadweep,Kavaratti,School Infrastructure,419000,0,Sanctioned,Vendor Pvt Ltd 71,Implementing Agency 5,0.3974593265518797,0,"days_rec_to_sanction, amount_zscore_in_category, release_ratio",True
MPLADS-103552,MP_ODI_3,Odisha,Bhubaneswar,CCTV Installation,2492000,2310617,Completed,Vendor Pvt Ltd 17,Implementing Agency 20,0.39587658993137204,0,"no_photo_flag, amount_zscore_in_category, days_rec_to_sanction",True
MPLADS-104308,MP_HIM_1,Himachal Pradesh,Manali,Drinking Water Supply,800000,750418,Completed,Vendor Pvt Ltd 109,Implementing Agency 52,0.39456311970673646,0,"is_round_amount, days_sanction_to_completion, amount_zscore_in_category",True
MPLADS-101477,MP_SIK_1,Sikkim,Gangtok,Drinking Water Supply,2300000,2155969,Completed,Vendor Pvt Ltd 69,Implementing Agency 35,0.39441214619313897,0,"is_round_amount, desc_generic_flag, release_ratio",True
MPLADS-100773,MP_AND_1,Andhra Pradesh,Vijayawada,School Infrastructure,4426000,4233204,Completed,Vendor Pvt Ltd 50,Implementing Agency 43,0.39342319409215226,1,"no_photo_flag, days_rec_to_sanction, days_sanction_to_completion",True
MPLADS-102754,MP_NAG_1,Nagaland,Dimapur,Street Lighting,258000,245450,Completed,Vendor Pvt Ltd 114,Implementing Agency 31,0.39298474055732685,0,"no_photo_flag, desc_generic_flag, amount_zscore_in_category",True
MPLADS-105639,MP_ARU_1,Arunanchal Pradesh,Tawang,Solar Power Installation,2100000,0,Recommended,Vendor Pvt Ltd 2,Implementing Agency 31,0.39270170205325006,0,"is_round_amount, days_rec_to_sanction, release_ratio",True
MPLADS-102245,MP_HAR_1,Haryana,Gurugram,School Infrastructure,4300000,0,Sanctioned,Vendor Pvt Ltd 51,Implementing Agency 24,0.3926332621205569,0,"is_round_amount, days_rec_to_sanction, release_ratio",True
MPLADS-100544,MP_ASS_1,Assam,Silchar,Sanitation/Toilets,1236000,1236000,Completed,Vendor Pvt Ltd 47,Implementing Agency 51,0.392529207792021,1,"no_photo_flag, desc_generic_flag, release_ratio",True
MPLADS-100147,MP_AND_2,Andhra Pradesh,Visakhapatnam,Street Lighting,1137000,1063847,Completed,Vendor Pvt Ltd 1,Implementing Agency 23,0.3918175316875364,1,"no_photo_flag, desc_generic_flag, days_sanction_to_completion",True
MPLADS-100504,MP_MAH_2,Maharashtra,Aurangabad,CCTV Installation,1361000,1298036,Completed,Vendor Pvt Ltd 108,Implementing Agency 58,0.39087986825709514,0,"no_photo_flag, desc_generic_flag, days_sanction_to_completion",True
MPLADS-100501,MP_TEL_3,Telangana,Hyderabad,School Infrastructure,4908000,5780737,In Progress,Vendor Pvt Ltd 71,Implementing Agency 45,0.3905822087005503,0,"over_release_flag, days_rec_to_sanction, release_ratio",True
MPLADS-102778,MP_SIK_2,Sikkim,Namchi,School Infrastructure,2000000,1897995,Completed,Vendor Pvt Ltd 109,Implementing Agency 52,0.38959489187645824,0,"is_round_amount, desc_generic_flag, release_ratio",True
MPLADS-102917,MP_PUD_1,Puducherry,Puducherry,Road Construction/Repair,851000,799175,Completed,Vendor Pvt Ltd 119,Implementing Agency 16,0.3892586547348533,0,"no_photo_flag, days_rec_to_sanction, amount_zscore_in_category",True
MPLADS-104060,MP_WES_2,West Bengal,Kolkata,Drinking Water Supply,933000,862985,Completed,Vendor Pvt Ltd 72,Implementing Agency 32,0.3877241597859399,0,"no_photo_flag, days_sanction_to_completion, amount_zscore_in_category",True
MPLADS-100907,MP_UTT_3,Uttarakhand,Dehradun,Irrigation Facility,8677000,4899527,Completed,Vendor Pvt Ltd 51,Implementing Agency 59,0.3872779818726645,0,"no_photo_flag, amount_zscore_in_category, days_rec_to_sanction",True
MPLADS-105192,MP_KAR_3,Karnataka,Mysuru,Sanitation/Toilets,100000,86832,In Progress,Vendor Pvt Ltd 103,Implementing Agency 31,0.3865619388986518,0,"is_round_amount, amount_zscore_in_category, days_rec_to_sanction",True
MPLADS-101089,MP_UTT_2,Uttar Pradesh,Meerut,Street Lighting,1101000,1033178,Completed,Vendor Pvt Ltd 116,Implementing Agency 47,0.3851386982254695,0,"no_photo_flag, desc_generic_flag, days_rec_to_sanction",True
MPLADS-105307,MP_KAR_3,Karnataka,Hubli,Sanitation/Toilets,1499000,1425804,Completed,Vendor Pvt Ltd 45,Implementing Agency 34,0.38466546356506454,0,"no_photo_flag, desc_generic_flag, amount_zscore_in_category",True
MPLADS-102251,MP_UTT_3,Uttarakhand,Dehradun,Drinking Water Supply,4100000,4027736,Completed,Vendor Pvt Ltd 76,Implementing Agency 47,0.3842653173325329,0,"is_round_amount, days_sanction_to_completion, amount_zscore_in_category",True
MPLADS-105658,MP_KAR_1,Karnataka,Bengaluru,Anganwadi Center Construction,471000,438808,Completed,Vendor Pvt Ltd 38,Implementing Agency 59,0.38420166455459265,0,"no_photo_flag, desc_generic_flag, amount_zscore_in_category",True
MPLADS-103974,MP_TRI_2,Tripura,Dharmanagar,CCTV Installation,1639000,1552276,Completed,Vendor Pvt Ltd 2,Implementing Agency 20,0.3816864626678519,0,"no_photo_flag, days_sanction_to_completion, days_rec_to_sanction",True
MPLADS-100221,MP_LAK_2,Lakshadweep,Kavaratti,Library/Reading Room,2281000,1140500,In Progress,Vendor Pvt Ltd 41,Implementing Agency 47,0.38128984139515787,0,"days_sanction_to_completion, days_rec_to_sanction, amount_zscore_in_category",True
MPLADS-102153,MP_GUJ_2,Gujarat,Vadodara,Library/Reading Room,293000,291359,Completed,Vendor Pvt Ltd 22,Implementing Agency 54,0.3812003998281161,0,"days_sanction_to_completion, desc_generic_flag, amount_zscore_in_category",True
MPLADS-105427,MP_JAM_1,Jammu & Kashmir,Jammu,Solar Power Installation,2980000,3286736,Completed,Vendor Pvt Ltd 86,Implementing Agency 39,0.37989179503926274,0,"over_release_flag, days_rec_to_sanction, release_ratio",True
MPLADS-105075,MP_JAM_2,Jammu & Kashmir,Srinagar,School Infrastructure,4835000,5250951,In Progress,Vendor Pvt Ltd 7,Implementing Agency 28,0.37855504684884633,0,"over_release_flag, days_rec_to_sanction, release_ratio",True
MPLADS-100966,MP_PUD_4,Puducherry,Karaikal,School Infrastructure,2145000,2026045,Completed,Vendor Pvt Ltd 102,Implementing Agency 7,0.3782684473188186,1,"no_photo_flag, days_rec_to_sanction, days_sanction_to_completion",True
