work_id,mp_name,state,district,work_category,sanctioned_amount,released_amount,status,vendor,risk_score,top_flag_reasons
MPLADS-102582,MP_MAH_3,Maharashtra,Thane,Railway Halt Amenities,3163697,1386824,In Progress,Vendor Pvt Ltd 1,0.05176513589567,"vendor_work_count, vendor_total_amount, days_rec_to_sanction"
MPLADS-104767,MP_GUJ_1,Gujarat,Rajkot,Community Hall Construction,7854000,7509349,Completed,Vendor Pvt Ltd 1,0.051711989098704336,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-105195,MP_KER_3,Kerala,Kochi,Street Lighting,1465000,1419297,Completed,Vendor Pvt Ltd 1,0.051562204781839704,"vendor_work_count, vendor_total_amount, days_sanction_to_completion"
MPLADS-100177,MP_RAJ_2,Rajasthan,Jaipur,Street Lighting,1580640,0,Recommended,Vendor Pvt Ltd 1,0.051403651258780325,"vendor_work_count, vendor_total_amount, release_ratio"
MPLADS-100476,MP_DEL_3,Delhi,New Delhi,Sports Infrastructure,2871000,1372602,In Progress,Vendor Pvt Ltd 1,0.0503791677523826,"vendor_work_count, vendor_total_amount, desc_genericness_score"
MPLADS-103452,MP_KER_2,Kerala,Kozhikode,CCTV Installation,569000,539235,In Progress,Vendor Pvt Ltd 1,0.05021787644576414,"vendor_work_count, vendor_total_amount, days_rec_to_sanction"
MPLADS-104786,MP_TAM_1,Tamil Nadu,Chennai,School Infrastructure,863000,945141,Sanctioned,Vendor Pvt Ltd 120,0.050189361124494014,"over_release_flag, agency_work_count, amount_zscore_in_category"
MPLADS-102355,MP_GUJ_1,Gujarat,Vadodara,Road Construction/Repair,6400000,5909098,Completed,Vendor Pvt Ltd 75,0.049504527856157665,"is_round_amount, days_rec_to_sanction, vendor_total_amount"
MPLADS-105038,MP_WES_2,West Bengal,Malda,Street Lighting,675000,0,Sanctioned,Vendor Pvt Ltd 1,0.04925978464567338,"vendor_work_count, vendor_total_amount, release_ratio"
MPLADS-102287,MP_KAR_3,Karnataka,Belagavi,Railway Halt Amenities,9210000,8781599,Completed,Vendor Pvt Ltd 24,0.04923043378789771,"no_photo_flag, days_rec_to_sanction, vendor_total_amount"
MPLADS-100410,MP_GUJ_3,Gujarat,Surat,Railway Halt Amenities,5776885,3620852,Completed,Vendor Pvt Ltd 1,0.04898815522920019,"vendor_work_count, vendor_total_amount, agency_work_count"
MPLADS-102453,MP_KER_4,Kerala,Kozhikode,CCTV Installation,2100000,2039063,Completed,Vendor Pvt Ltd 104,0.0480355051490321,"is_round_amount, agency_work_count, days_sanction_to_completion"
MPLADS-105163,MP_TAM_2,Tamil Nadu,Madurai,Street Lighting,633026,365991,In Progress,Vendor Pvt Ltd 1,0.04787855232540439,"vendor_work_count, vendor_total_amount, days_rec_to_sanction"
MPLADS-105437,MP_DEL_2,Delhi,South Delhi,School Infrastructure,577000,576370,Completed,Vendor Pvt Ltd 94,0.047596439961447023,"no_photo_flag, desc_genericness_score, amount_zscore_in_category"
MPLADS-104747,MP_KER_1,Kerala,Thiruvananthapuram,Sanitation/Toilets,1442000,1568871,Completed,Vendor Pvt Ltd 24,0.04747227576536339,"over_release_flag, vendor_total_amount, amount_zscore_in_category"
MPLADS-104331,MP_GUJ_5,Gujarat,Vadodara,Health Facility Upgrade,793000,362000,In Progress,Vendor Pvt Ltd 1,0.04710363954725816,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-101536,MP_DEL_2,Delhi,South Delhi,Anganwadi Center Construction,1999000,2315428,Recommended,Vendor Pvt Ltd 70,0.04704598156797368,"over_release_flag, amount_zscore_in_category, release_ratio"
MPLADS-100303,MP_RAJ_2,Rajasthan,Kota,Sanitation/Toilets,111000,102200,Completed,Vendor Pvt Ltd 1,0.04637607975811775,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-103841,MP_WES_1,West Bengal,Howrah,Anganwadi Center Construction,471000,468447,Completed,Vendor Pvt Ltd 74,0.046066559247567085,"no_photo_flag, days_rec_to_sanction, days_sanction_to_completion"
MPLADS-104142,MP_DEL_2,Delhi,South Delhi,Solar Power Installation,1137000,1126461,Completed,Vendor Pvt Ltd 1,0.04592475951374431,"vendor_work_count, vendor_total_amount, days_sanction_to_completion"
MPLADS-105261,MP_RAJ_2,Rajasthan,Jaipur,School Infrastructure,414000,0,Completed,Vendor Pvt Ltd 69,0.04573657137053533,"no_photo_flag, desc_genericness_score, amount_zscore_in_category"
MPLADS-104424,MP_UTT_1,Uttar Pradesh,Agra,Solar Power Installation,500000,255893,In Progress,Vendor Pvt Ltd 3,0.0456479431372091,"is_round_amount, amount_zscore_in_category, vendor_total_amount"
MPLADS-102704,MP_KAR_2,Karnataka,Hubli,CCTV Installation,1129320,723885,Completed,Vendor Pvt Ltd 1,0.045489019685144516,"vendor_work_count, vendor_total_amount, agency_work_count"
MPLADS-105937,MP_RAJ_1,Rajasthan,Udaipur,Drinking Water Supply,3163631,872966,In Progress,Vendor Pvt Ltd 1,0.04541234284254714,"vendor_work_count, vendor_total_amount, release_ratio"
MPLADS-102883,MP_WES_2,West Bengal,Kolkata,Solar Power Installation,1285000,1265971,Completed,Vendor Pvt Ltd 110,0.04510939734352881,"no_photo_flag, days_sanction_to_completion, vendor_total_amount"
MPLADS-105273,MP_GUJ_3,Gujarat,Ahmedabad,Library/Reading Room,2349000,2283515,Completed,Vendor Pvt Ltd 1,0.04478147869474769,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-105871,MP_GUJ_3,Gujarat,Vadodara,Railway Halt Amenities,3024620,1596906,In Progress,Vendor Pvt Ltd 1,0.044545511093622814,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-100593,MP_RAJ_2,Rajasthan,Jodhpur,CCTV Installation,2413000,1984452,In Progress,Vendor Pvt Ltd 1,0.044532292004345164,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-105447,MP_RAJ_2,Rajasthan,Jaipur,Irrigation Facility,5054049,2816619,Completed,Vendor Pvt Ltd 1,0.04448403318732097,"vendor_work_count, vendor_total_amount, agency_work_count"
MPLADS-104329,MP_GUJ_4,Gujarat,Rajkot,Street Lighting,1700000,1324985,In Progress,Vendor Pvt Ltd 39,0.043829213518354115,"is_round_amount, agency_work_count, amount_zscore_in_category"
MPLADS-101082,MP_BIH_1,Bihar,Patna,School Infrastructure,432000,0,Recommended,Vendor Pvt Ltd 18,0.043487201393178854,"agency_work_count, days_rec_to_sanction, vendor_total_amount"
MPLADS-104402,MP_GUJ_2,Gujarat,Rajkot,Street Lighting,480000,204603,In Progress,Vendor Pvt Ltd 27,0.043463506581109757,"desc_genericness_score, vendor_total_amount, vendor_work_count"
MPLADS-104567,MP_KAR_1,Karnataka,Hubli,Solar Power Installation,1068000,1032391,Completed,Vendor Pvt Ltd 1,0.04242773837674463,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-102478,MP_BIH_1,Bihar,Patna,Drinking Water Supply,3671000,3584800,Completed,Vendor Pvt Ltd 28,0.04208192082689044,"no_photo_flag, days_sanction_to_completion, vendor_work_count"
MPLADS-104453,MP_GUJ_1,Gujarat,Vadodara,Railway Halt Amenities,6600000,4966257,In Progress,Vendor Pvt Ltd 83,0.041829696910701486,"is_round_amount, agency_work_count, days_rec_to_sanction"
MPLADS-104708,MP_KER_4,Kerala,Kochi,Anganwadi Center Construction,1400000,1384448,Completed,Vendor Pvt Ltd 73,0.04118100637013167,"is_round_amount, days_sanction_to_completion, vendor_work_count"
MPLADS-104289,MP_KAR_1,Karnataka,Hubli,CCTV Installation,1700000,0,Sanctioned,Vendor Pvt Ltd 30,0.0411411926862576,"is_round_amount, release_ratio, vendor_total_amount"
MPLADS-105746,MP_MAH_2,Maharashtra,Pune,Irrigation Facility,4445000,3024209,In Progress,Vendor Pvt Ltd 1,0.040847204952424665,"vendor_work_count, vendor_total_amount, agency_work_count"
MPLADS-101170,MP_UTT_1,Uttar Pradesh,Meerut,Road Construction/Repair,9400000,8947073,Completed,Vendor Pvt Ltd 105,0.04030209725041323,"is_round_amount, amount_zscore_in_category, agency_work_count"
MPLADS-103615,MP_GUJ_4,Gujarat,Rajkot,Railway Halt Amenities,2618730,1297758,In Progress,Vendor Pvt Ltd 1,0.04023319802916214,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-104135,MP_RAJ_1,Rajasthan,Udaipur,CCTV Installation,1468000,568416,In Progress,Vendor Pvt Ltd 1,0.03968607110695632,"vendor_work_count, vendor_total_amount, days_sanction_to_completion"
MPLADS-104942,MP_DEL_3,Delhi,New Delhi,Road Construction/Repair,9000000,0,Recommended,Vendor Pvt Ltd 26,0.03923287244524254,"is_round_amount, days_rec_to_sanction, release_ratio"
