work_id,mp_name,house,state,constituency,district,work_category,work_description,is_sc_st_area,sanctioned_amount,released_amount,recommendation_date,sanction_date,completion_date,status,implementing_agency,vendor,photo_count,is_anomaly,anomaly_type
MPLADS-105302,MP_HIM_3,Lok Sabha,Himachal Pradesh,Himachal Pradesh PC-3,Shimla,Irrigation Facility,Providing Irrigation Facility for public use at Shimla,False,6769000,3384500,2024-08-23,2024-08-25,,In Progress,Implementing Agency 21,Vendor Pvt Ltd 7,0,True,payment_before_sanction
MPLADS-102611,MP_GOA_4,Lok Sabha,Goa,Goa PC-4,North Goa,Drinking Water Supply,Construction of Drinking Water Supply at North Goa,False,3213000,1606500,2023-11-16,2023-11-20,2024-07-11,In Progress,Implementing Agency 11,Vendor Pvt Ltd 9,2,True,payment_before_sanction
MPLADS-100811,MP_UTT_1,Rajya Sabha,Uttar Pradesh,Uttar Pradesh (RS),Agra,School Infrastructure,Construction of School Infrastructure at Agra,False,4714000,2357000,2024-04-14,2024-04-18,2024-08-24,In Progress,Implementing Agency 46,Vendor Pvt Ltd 82,2,True,payment_before_sanction
MPLADS-100393,MP_WES_2,Lok Sabha,West Bengal,West Bengal PC-2,Malda,Library/Reading Room,Upgradation of Library/Reading Room facility in Malda,False,848000,424000,2024-08-21,2024-08-25,,In Progress,Implementing Agency 44,Vendor Pvt Ltd 55,0,True,payment_before_sanction
MPLADS-103593,MP_PUD_2,Lok Sabha,Puducherry,Puducherry PC-2,Puducherry,Drinking Water Supply,Construction of Drinking Water Supply at Puducherry,False,2263000,1131500,2023-05-30,2023-06-04,2023-09-26,In Progress,Implementing Agency 42,Vendor Pvt Ltd 92,3,True,payment_before_sanction
MPLADS-102638,MP_TAM_1,Rajya Sabha,Tamil Nadu,Tamil Nadu (RS),Chennai,CCTV Installation,Installation of CCTV Installation in ward area Chennai,True,1813000,906500,2024-06-29,2024-07-03,2024-09-26,In Progress,Implementing Agency 8,Vendor Pvt Ltd 59,5,True,payment_before_sanction
MPLADS-102187,MP_PUD_3,Lok Sabha,Puducherry,Puducherry PC-3,Karaikal,Solar Power Installation,Upgradation of Solar Power Installation facility in Karaikal,False,2714000,1357000,2023-12-13,2023-12-14,,In Progress,Implementing Agency 19,Vendor Pvt Ltd 83,2,True,payment_before_sanction
MPLADS-105351,MP_JAM_3,Lok Sabha,Jammu & Kashmir,Jammu & Kashmir PC-3,Jammu,Drinking Water Supply,Repair and renovation of Drinking Water Supply at Jammu,False,3449000,1724500,2023-08-20,2023-08-24,,In Progress,Implementing Agency 31,Vendor Pvt Ltd 3,2,True,payment_before_sanction
MPLADS-100319,MP_GOA_4,Lok Sabha,Goa,Goa PC-4,South Goa,Sanitation/Toilets,Construction of Sanitation/Toilets at South Goa,False,331000,165500,2024-08-25,2024-08-27,,In Progress,Implementing Agency 2,Vendor Pvt Ltd 62,2,True,payment_before_sanction
MPLADS-100167,MP_AND_4,Rajya Sabha,Andhra Pradesh,Andhra Pradesh (RS),Visakhapatnam,Solar Power Installation,Providing Solar Power Installation for public use at Visakhapatnam,False,1957000,978500,2024-06-23,2024-06-25,,In Progress,Implementing Agency 40,Vendor Pvt Ltd 21,0,True,payment_before_sanction
MPLADS-100746,MP_PUN_4,Rajya Sabha,Punjab,Punjab (RS),Amritsar,Road Construction/Repair,Providing Road Construction/Repair for public use at Amritsar,False,8152000,4076000,2023-06-21,2023-06-26,,In Progress,Implementing Agency 47,Vendor Pvt Ltd 68,1,True,payment_before_sanction
MPLADS-105470,MP_MEG_1,Lok Sabha,Meghalaya,Meghalaya PC-1,Shillong,Health Facility Upgrade,Construction of Health Facility Upgrade at Shillong,False,3723000,1861500,2023-10-24,2023-10-28,,In Progress,Implementing Agency 8,Vendor Pvt Ltd 20,0,True,payment_before_sanction
MPLADS-103707,MP_AND_1,Lok Sabha,Andhra Pradesh,Andhra Pradesh PC-1,Visakhapatnam,Sports Infrastructure,Construction of Sports Infrastructure at Visakhapatnam,False,1800000,900000,2023-05-02,2023-05-04,2023-10-25,In Progress,Implementing Agency 3,Vendor Pvt Ltd 98,4,True,payment_before_sanction
MPLADS-102764,MP_LAK_4,Lok Sabha,Lakshadweep,Lakshadweep PC-4,Kavaratti,Drinking Water Supply,Upgradation of Drinking Water Supply facility in Kavaratti,True,712000,356000,2023-10-24,2023-10-29,,In Progress,Implementing Agency 47,Vendor Pvt Ltd 81,1,True,payment_before_sanction
MPLADS-105112,MP_MEG_2,Lok Sabha,Meghalaya,Meghalaya PC-2,Tura,Drinking Water Supply,Construction of Drinking Water Supply at Tura,True,1499000,749500,2023-04-27,2023-04-28,2023-09-25,In Progress,Implementing Agency 41,Vendor Pvt Ltd 120,2,True,payment_before_sanction
MPLADS-104006,MP_TRI_1,Rajya Sabha,Tripura,Tripura (RS),Dharmanagar,CCTV Installation,Providing CCTV Installation for public use at Dharmanagar,True,1822000,911000,2024-05-05,2024-05-07,,In Progress,Implementing Agency 52,Vendor Pvt Ltd 94,0,True,payment_before_sanction
MPLADS-101871,MP_PUN_2,Rajya Sabha,Punjab,Punjab (RS),Amritsar,Street Lighting,Upgradation of Street Lighting facility in Amritsar,True,658000,329000,2024-08-04,2024-08-05,,In Progress,Implementing Agency 45,Vendor Pvt Ltd 20,0,True,payment_before_sanction
MPLADS-105756,MP_MIZ_1,Rajya Sabha,Mizoram,Mizoram (RS),Lunglei,School Infrastructure,Upgradation of School Infrastructure facility in Lunglei,False,4195000,2097500,2023-04-27,2023-04-29,,In Progress,Implementing Agency 29,Vendor Pvt Ltd 78,1,True,payment_before_sanction
MPLADS-103193,MP_NCT_3,Lok Sabha,NCT of Delhi,NCT of Delhi PC-3,New Delhi,Street Lighting,Providing Street Lighting for public use at New Delhi,False,1023000,511500,2023-12-03,2023-12-05,2024-07-04,In Progress,Implementing Agency 5,Vendor Pvt Ltd 33,4,True,payment_before_sanction
MPLADS-103754,MP_AND_1,Lok Sabha,Andaman & Nicobar Island,Andaman & Nicobar Island PC-1,Nicobar,Road Construction/Repair,Installation of Road Construction/Repair in ward area Nicobar,False,3593000,1796500,2023-12-16,2023-12-20,,In Progress,Implementing Agency 15,Vendor Pvt Ltd 98,0,True,payment_before_sanction
MPLADS-105625,MP_ARU_2,Rajya Sabha,Arunanchal Pradesh,Arunanchal Pradesh (RS),Itanagar,Health Facility Upgrade,Upgradation of Health Facility Upgrade facility in Itanagar,True,2810000,1405000,2023-04-15,2023-04-17,2023-12-06,In Progress,Implementing Agency 35,Vendor Pvt Ltd 5,4,True,payment_before_sanction
MPLADS-104894,MP_ARU_2,Rajya Sabha,Arunanchal Pradesh,Arunanchal Pradesh (RS),Tawang,Railway Halt Amenities,Installation of Railway Halt Amenities in ward area Tawang,False,8058000,4029000,2023-10-04,2023-10-07,,In Progress,Implementing Agency 34,Vendor Pvt Ltd 73,1,True,payment_before_sanction
MPLADS-104102,MP_PUN_4,Rajya Sabha,Punjab,Punjab (RS),Amritsar,Health Facility Upgrade,Repair and renovation of Health Facility Upgrade at Amritsar,False,5450000,2725000,2024-02-18,2024-02-23,2024-06-19,In Progress,Implementing Agency 40,Vendor Pvt Ltd 35,1,True,payment_before_sanction
MPLADS-101261,MP_MAH_1,Rajya Sabha,Maharashtra,Maharashtra (RS),Nagpur,Road Construction/Repair,Upgradation of Road Construction/Repair facility in Nagpur,True,6759000,3379500,2024-03-23,2024-03-28,,In Progress,Implementing Agency 55,Vendor Pvt Ltd 111,1,True,payment_before_sanction
MPLADS-102338,MP_TEL_1,Rajya Sabha,Telangana,Telangana (RS),Warangal,Street Lighting,Repair and renovation of Street Lighting at Warangal,True,665000,332500,2024-02-13,2024-02-17,,In Progress,Implementing Agency 56,Vendor Pvt Ltd 47,2,True,payment_before_sanction
MPLADS-100084,MP_PUN_3,Lok Sabha,Punjab,Punjab PC-3,Amritsar,Road Construction/Repair,Upgradation of Road Construction/Repair facility in Amritsar,False,6865000,3432500,2023-12-27,2023-12-30,2024-09-30,In Progress,Implementing Agency 41,Vendor Pvt Ltd 76,3,True,payment_before_sanction
MPLADS-103821,MP_NCT_3,Lok Sabha,NCT of Delhi,NCT of Delhi PC-3,New Delhi,Drinking Water Supply,Upgradation of Drinking Water Supply facility in New Delhi,False,4265000,2132500,2023-12-29,2023-12-30,,In Progress,Implementing Agency 40,Vendor Pvt Ltd 103,0,True,payment_before_sanction
MPLADS-102653,MP_AND_1,Lok Sabha,Andhra Pradesh,Andhra Pradesh PC-1,Visakhapatnam,Street Lighting,Upgradation of Street Lighting facility in Visakhapatnam,False,522000,261000,2023-12-15,2023-12-20,,In Progress,Implementing Agency 7,Vendor Pvt Ltd 99,1,True,payment_before_sanction
MPLADS-105545,MP_CHA_3,Rajya Sabha,Chandigarh,Chandigarh (RS),Chandigarh,Railway Halt Amenities,Installation of Railway Halt Amenities in ward area Chandigarh,False,4463000,2231500,2024-06-20,2024-06-23,2025-04-28,In Progress,Implementing Agency 14,Vendor Pvt Ltd 102,4,True,payment_before_sanction
MPLADS-102746,MP_AND_2,Lok Sabha,Andhra Pradesh,Andhra Pradesh PC-2,Visakhapatnam,Road Construction/Repair,Construction of Road Construction/Repair at Visakhapatnam,False,673000,336500,2023-08-18,2023-08-22,,In Progress,Implementing Agency 52,Vendor Pvt Ltd 73,1,True,payment_before_sanction
MPLADS-102858,MP_NAG_2,Lok Sabha,Nagaland,Nagaland PC-2,Kohima,School Infrastructure,Providing School Infrastructure for public use at Kohima,True,3645000,1822500,2024-03-08,2024-03-12,2024-08-24,In Progress,Implementing Agency 50,Vendor Pvt Ltd 31,3,True,payment_before_sanction
MPLADS-100996,MP_MEG_2,Lok Sabha,Meghalaya,Meghalaya PC-2,Shillong,Road Construction/Repair,Upgradation of Road Construction/Repair facility in Shillong,False,5240000,2620000,2024-04-18,2024-04-21,,In Progress,Implementing Agency 32,Vendor Pvt Ltd 4,2,True,payment_before_sanction
MPLADS-100228,MP_SIK_1,Lok Sabha,Sikkim,Sikkim PC-1,Gangtok,Community Hall Construction,Upgradation of Community Hall Construction facility in Gangtok,False,4270000,2135000,2024-05-16,2024-05-19,,In Progress,Implementing Agency 3,Vendor Pvt Ltd 5,0,True,payment_before_sanction
MPLADS-103264,MP_NAG_2,Lok Sabha,Nagaland,Nagaland PC-2,Dimapur,Health Facility Upgrade,Installation of Health Facility Upgrade in ward area Dimapur,False,4389000,2194500,2024-05-16,2024-05-21,,In Progress,Implementing Agency 24,Vendor Pvt Ltd 100,0,True,payment_before_sanction
MPLADS-104828,MP_AND_2,Rajya Sabha,Andaman & Nicobar Island,Andaman & Nicobar Island (RS),Port Blair,School Infrastructure,Providing School Infrastructure for public use at Port Blair,False,3764000,1882000,2023-08-09,2023-08-13,,In Progress,Implementing Agency 47,Vendor Pvt Ltd 34,0,True,payment_before_sanction
MPLADS-103942,MP_LAK_1,Rajya Sabha,Lakshadweep,Lakshadweep (RS),Kavaratti,Health Facility Upgrade,Construction of Health Facility Upgrade at Kavaratti,False,790000,395000,2023-12-06,2023-12-10,,In Progress,Implementing Agency 51,Vendor Pvt Ltd 74,2,True,payment_before_sanction
MPLADS-105459,MP_NCT_1,Lok Sabha,NCT of Delhi,NCT of Delhi PC-1,South Delhi,Community Hall Construction,Providing Community Hall Construction for public use at South Delhi,False,942000,471000,2024-01-06,2024-01-07,,In Progress,Implementing Agency 44,Vendor Pvt Ltd 42,3,True,payment_before_sanction
MPLADS-103832,MP_HIM_1,Rajya Sabha,Himachal Pradesh,Himachal Pradesh (RS),Manali,Library/Reading Room,Upgradation of Library/Reading Room facility in Manali,True,801000,400500,2023-10-05,2023-10-08,2024-03-27,In Progress,Implementing Agency 45,Vendor Pvt Ltd 45,2,True,payment_before_sanction
MPLADS-101652,MP_HAR_2,Rajya Sabha,Haryana,Haryana (RS),Gurugram,School Infrastructure,Construction of School Infrastructure at Gurugram,True,2923000,1461500,2024-05-25,2024-05-27,,In Progress,Implementing Agency 52,Vendor Pvt Ltd 63,0,True,payment_before_sanction
MPLADS-100079,MP_DAD_3,Rajya Sabha,Dadara & Nagar Havelli,Dadara & Nagar Havelli (RS),Silvassa,Anganwadi Center Construction,Installation of Anganwadi Center Construction in ward area Silvassa,False,536000,268000,2024-02-06,2024-02-10,,In Progress,Implementing Agency 16,Vendor Pvt Ltd 16,1,True,payment_before_sanction
MPLADS-100964,MP_WES_1,Lok Sabha,West Bengal,West Bengal PC-1,Malda,School Infrastructure,Providing School Infrastructure for public use at Malda,False,1668000,834000,2024-05-04,2024-05-07,2024-10-10,In Progress,Implementing Agency 54,Vendor Pvt Ltd 87,3,True,payment_before_sanction
MPLADS-100926,MP_HIM_4,Lok Sabha,Himachal Pradesh,Himachal Pradesh PC-4,Manali,Railway Halt Amenities,Installation of Railway Halt Amenities in ward area Manali,False,2549000,1274500,2023-05-13,2023-05-16,2024-01-02,In Progress,Implementing Agency 17,Vendor Pvt Ltd 22,3,True,payment_before_sanction
MPLADS-100794,MP_MAD_3,Rajya Sabha,Madhya Pradesh,Madhya Pradesh (RS),Bhopal,Street Lighting,Repair and renovation of Street Lighting at Bhopal,True,658000,658000,2023-07-25,2023-09-11,2023-09-13,Completed,Implementing Agency 44,Vendor Pvt Ltd 109,4,True,impossible_speed_completion
MPLADS-103379,MP_MAH_1,Rajya Sabha,Maharashtra,Maharashtra (RS),Pune,Anganwadi Center Construction,Installation of Anganwadi Center Construction in ward area Pune,False,609000,609000,2024-06-11,2024-07-13,2024-07-16,Completed,Implementing Agency 44,Vendor Pvt Ltd 75,7,True,impossible_speed_completion
MPLADS-103164,MP_AND_2,Lok Sabha,Andhra Pradesh,Andhra Pradesh PC-2,Visakhapatnam,Library/Reading Room,Construction of Library/Reading Room at Visakhapatnam,False,2437000,2437000,2024-06-11,2024-07-23,2024-07-26,Completed,Implementing Agency 53,Vendor Pvt Ltd 3,3,True,impossible_speed_completion
MPLADS-104657,MP_WES_2,Lok Sabha,West Bengal,West Bengal PC-2,Howrah,Railway Halt Amenities,Construction of Railway Halt Amenities at Howrah,False,4039000,4039000,2023-08-17,2023-08-31,2023-09-03,Completed,Implementing Agency 52,Vendor Pvt Ltd 14,3,True,impossible_speed_completion
MPLADS-103311,MP_PUN_3,Lok Sabha,Punjab,Punjab PC-3,Amritsar,Road Construction/Repair,Construction of Road Construction/Repair at Amritsar,False,817000,817000,2024-04-12,2024-05-15,2024-05-16,Completed,Implementing Agency 39,Vendor Pvt Ltd 40,0,True,impossible_speed_completion
MPLADS-103934,MP_DAD_1,Lok Sabha,Dadara & Nagar Havelli,Dadara & Nagar Havelli PC-1,Silvassa,Irrigation Facility,Installation of Irrigation Facility in ward area Silvassa,False,7725000,7725000,2024-04-19,2024-05-05,2024-05-07,Completed,Implementing Agency 40,Vendor Pvt Ltd 7,3,True,impossible_speed_completion
MPLADS-101074,MP_LAK_3,Lok Sabha,Lakshadweep,Lakshadweep PC-3,Kavaratti,Community Hall Construction,Upgradation of Community Hall Construction facility in Kavaratti,False,2383000,2383000,2023-05-01,2023-06-15,2023-06-16,Completed,Implementing Agency 37,Vendor Pvt Ltd 112,1,True,impossible_speed_completion
MPLADS-104840,MP_UTT_3,Lok Sabha,Uttarakhand,Uttarakhand PC-3,Dehradun,Irrigation Facility,Upgradation of Irrigation Facility facility in Dehradun,False,1402000,1402000,2023-10-03,2023-10-19,2023-10-23,Completed,Implementing Agency 41,Vendor Pvt Ltd 55,2,True,impossible_speed_completion
MPLADS-104183,MP_MAN_2,Rajya Sabha,Manipur,Manipur (RS),Thoubal,Road Construction/Repair,Providing Road Construction/Repair for public use at Thoubal,False,1807000,1807000,2023-04-28,2023-05-14,2023-05-18,Completed,Implementing Agency 57,Vendor Pvt Ltd 103,0,True,impossible_speed_completion
MPLADS-102024,MP_TEL_2,Lok Sabha,Telangana,Telangana PC-2,Hyderabad,Road Construction/Repair,Installation of Road Construction/Repair in ward area Hyderabad,True,7903000,7903000,2024-03-16,2024-04-05,2024-04-07,Completed,Implementing Agency 53,Vendor Pvt Ltd 89,0,True,impossible_speed_completion
MPLADS-105677,MP_MAD_2,Lok Sabha,Madhya Pradesh,Madhya Pradesh PC-2,Bhopal,Library/Reading Room,Upgradation of Library/Reading Room facility in Bhopal,False,1809000,1809000,2024-01-04,2024-03-16,2024-03-17,Completed,Implementing Agency 35,Vendor Pvt Ltd 32,1,True,impossible_speed_completion
MPLADS-104634,MP_MEG_2,Lok Sabha,Meghalaya,Meghalaya PC-2,Tura,Health Facility Upgrade,Upgradation of Health Facility Upgrade facility in Tura,True,6503000,6503000,2024-07-25,2024-08-09,2024-08-10,Completed,Implementing Agency 42,Vendor Pvt Ltd 102,0,True,impossible_speed_completion
MPLADS-101745,MP_MIZ_1,Rajya Sabha,Mizoram,Mizoram (RS),Aizawl,Sanitation/Toilets,Repair and renovation of Sanitation/Toilets at Aizawl,True,1293000,1293000,2023-09-06,2023-12-04,2023-12-05,Completed,Implementing Agency 37,Vendor Pvt Ltd 23,5,True,impossible_speed_completion
MPLADS-103143,MP_ASS_1,Rajya Sabha,Assam,Assam (RS),Silchar,Sports Infrastructure,Repair and renovation of Sports Infrastructure at Silchar,False,487000,487000,2024-02-04,2024-03-12,2024-03-14,Completed,Implementing Agency 39,Vendor Pvt Ltd 98,3,True,impossible_speed_completion
MPLADS-103263,MP_LAK_3,Lok Sabha,Lakshadweep,Lakshadweep PC-3,Kavaratti,CCTV Installation,Construction of CCTV Installation at Kavaratti,False,219000,219000,2023-11-13,2023-12-08,2023-12-10,Completed,Implementing Agency 2,Vendor Pvt Ltd 48,3,True,impossible_speed_completion
MPLADS-103121,MP_GOA_2,Lok Sabha,Goa,Goa PC-2,South Goa,Health Facility Upgrade,Repair and renovation of Health Facility Upgrade at South Goa,False,3995000,3995000,2023-04-14,2023-05-07,2023-05-10,Completed,Implementing Agency 59,Vendor Pvt Ltd 6,2,True,impossible_speed_completion
MPLADS-101451,MP_AND_1,Lok Sabha,Andhra Pradesh,Andhra Pradesh PC-1,Vijayawada,Irrigation Facility,Repair and renovation of Irrigation Facility at Vijayawada,False,4757000,4757000,2023-11-27,2024-01-11,2024-01-13,Completed,Implementing Agency 5,Vendor Pvt Ltd 65,1,True,impossible_speed_completion
MPLADS-100439,MP_TAM_2,Lok Sabha,Tamil Nadu,Tamil Nadu PC-2,Chennai,School Infrastructure,Repair and renovation of School Infrastructure at Chennai,True,1971000,1971000,2023-10-23,2023-12-19,2023-12-20,Completed,Implementing Agency 16,Vendor Pvt Ltd 5,3,True,impossible_speed_completion
MPLADS-103316,MP_PUN_3,Lok Sabha,Punjab,Punjab PC-3,Ludhiana,Road Construction/Repair,Repair and renovation of Road Construction/Repair at Ludhiana,False,3410000,3410000,2024-08-23,2024-08-31,2024-09-01,Completed,Implementing Agency 27,Vendor Pvt Ltd 92,2,True,impossible_speed_completion
MPLADS-104543,MP_UTT_2,Rajya Sabha,Uttar Pradesh,Uttar Pradesh (RS),Lucknow,Road Construction/Repair,Installation of Road Construction/Repair in ward area Lucknow,False,6274000,6274000,2024-06-11,2024-06-19,2024-06-21,Completed,Implementing Agency 50,Vendor Pvt Ltd 95,3,True,impossible_speed_completion
MPLADS-102981,MP_WES_2,Lok Sabha,West Bengal,West Bengal PC-2,Malda,Community Hall Construction,Installation of Community Hall Construction in ward area Malda,False,860000,860000,2023-12-27,2024-01-28,2024-01-29,Completed,Implementing Agency 14,Vendor Pvt Ltd 42,0,True,impossible_speed_completion
MPLADS-102080,MP_WES_2,Lok Sabha,West Bengal,West Bengal PC-2,Kolkata,Community Hall Construction,Construction of Community Hall Construction at Kolkata,False,7460000,7460000,2024-04-19,2024-07-15,2024-07-18,Completed,Implementing Agency 30,Vendor Pvt Ltd 119,6,True,impossible_speed_completion
MPLADS-104020,MP_LAK_1,Rajya Sabha,Lakshadweep,Lakshadweep (RS),Kavaratti,Sports Infrastructure,Providing Sports Infrastructure for public use at Kavaratti,False,2468000,2468000,2023-10-17,2023-11-25,2023-11-27,Completed,Implementing Agency 20,Vendor Pvt Ltd 34,0,True,impossible_speed_completion
MPLADS-101454,MP_UTT_2,Lok Sabha,Uttarakhand,Uttarakhand PC-2,Haridwar,Sports Infrastructure,Construction of Sports Infrastructure at Haridwar,False,894000,894000,2024-01-27,2024-03-11,2024-03-15,Completed,Implementing Agency 11,Vendor Pvt Ltd 48,1,True,impossible_speed_completion
MPLADS-100254,MP_AND_2,Rajya Sabha,Andaman & Nicobar Island,Andaman & Nicobar Island (RS),Nicobar,Railway Halt Amenities,Providing Railway Halt Amenities for public use at Nicobar,False,4460000,4460000,2023-11-28,2023-12-26,2023-12-29,Completed,Implementing Agency 8,Vendor Pvt Ltd 60,2,True,impossible_speed_completion
MPLADS-100465,MP_WES_5,Rajya Sabha,West Bengal,West Bengal (RS),Darjeeling,Sports Infrastructure,Providing Sports Infrastructure for public use at Darjeeling,False,4155000,4155000,2024-03-11,2024-05-29,2024-05-30,Completed,Implementing Agency 44,Vendor Pvt Ltd 18,1,True,impossible_speed_completion
MPLADS-102117,MP_SIK_2,Lok Sabha,Sikkim,Sikkim PC-2,Namchi,Anganwadi Center Construction,Repair and renovation of Anganwadi Center Construction at Namchi,False,1163000,1163000,2024-05-03,2024-05-31,2024-06-03,Completed,Implementing Agency 33,Vendor Pvt Ltd 110,1,True,impossible_speed_completion
MPLADS-100506,MP_GOA_1,Lok Sabha,Goa,Goa PC-1,South Goa,Anganwadi Center Construction,Construction of Anganwadi Center Construction at South Goa,False,836000,836000,2024-01-19,2024-02-14,2024-02-17,Completed,Implementing Agency 10,Vendor Pvt Ltd 108,3,True,impossible_speed_completion
MPLADS-104271,MP_WES_1,Lok Sabha,West Bengal,West Bengal PC-1,Kolkata,Irrigation Facility,Installation of Irrigation Facility in ward area Kolkata,True,8316000,8316000,2024-02-05,2024-03-16,2024-03-20,Completed,Implementing Agency 29,Vendor Pvt Ltd 12,2,True,impossible_speed_completion
MPLADS-104288,MP_CHA_3,Rajya Sabha,Chandigarh,Chandigarh (RS),Chandigarh,Health Facility Upgrade,Construction of Health Facility Upgrade at Chandigarh,False,4241000,4241000,2024-04-17,2024-05-13,2024-05-17,Completed,Implementing Agency 23,Vendor Pvt Ltd 44,4,True,impossible_speed_completion
MPLADS-104213,MP_PUN_4,Rajya Sabha,Punjab,Punjab (RS),Ludhiana,Community Hall Construction,Repair and renovation of Community Hall Construction at Ludhiana,False,6712000,6712000,2024-08-07,2024-08-31,2024-09-04,Completed,Implementing Agency 36,Vendor Pvt Ltd 87,3,True,impossible_speed_completion
MPLADS-100233,MP_NCT_3,Lok Sabha,NCT of Delhi,NCT of Delhi PC-3,New Delhi,Solar Power Installation,Installation of Solar Power Installation in ward area New Delhi,True,620000,620000,2024-08-04,2024-08-31,2024-09-01,Completed,Implementing Agency 41,Vendor Pvt Ltd 93,2,True,impossible_speed_completion
MPLADS-100553,MP_MEG_2,Lok Sabha,Meghalaya,Meghalaya PC-2,Tura,CCTV Installation,Providing CCTV Installation for public use at Tura,False,792000,792000,2023-04-20,2023-05-14,2023-05-15,Completed,Implementing Agency 47,Vendor Pvt Ltd 85,4,True,impossible_speed_completion
MPLADS-105314,MP_TRI_3,Rajya Sabha,Tripura,Tripura (RS),Agartala,School Infrastructure,Construction of School Infrastructure at Agartala,False,2092000,2092000,2023-05-12,2023-06-17,2023-06-18,Completed,Implementing Agency 2,Vendor Pvt Ltd 118,3,True,impossible_speed_completion
MPLADS-100544,MP_ASS_1,Rajya Sabha,Assam,Assam (RS),Silchar,Sanitation/Toilets,Repair and renovation of Sanitation/Toilets at Silchar,False,1236000,1236000,2023-10-29,2023-11-15,2023-11-17,Completed,Implementing Agency 51,Vendor Pvt Ltd 47,0,True,impossible_speed_completion
MPLADS-103700,MP_TRI_1,Rajya Sabha,Tripura,Tripura (RS),Dharmanagar,Sports Infrastructure,Installation of Sports Infrastructure in ward area Dharmanagar,False,4446000,4446000,2024-02-03,2024-04-16,2024-04-18,Completed,Implementing Agency 24,Vendor Pvt Ltd 119,3,True,impossible_speed_completion
MPLADS-103540,MP_RAJ_4,Rajya Sabha,Rajasthan,Rajasthan (RS),Udaipur,Road Construction/Repair,Upgradation of Road Construction/Repair facility in Udaipur,False,7719000,7719000,2023-11-22,2023-12-14,2023-12-16,Completed,Implementing Agency 4,Vendor Pvt Ltd 53,2,True,impossible_speed_completion
