work_id,mp_name,state,district,work_category,sanctioned_amount,released_amount,status,vendor,implementing_agency,iso_score,lof_score,ensemble_score,network_risk_flag,flagged_by_model,risk_level,risk_priority,top_flag_reasons
MPLADS-102505,MP_GUJ_5,Gujarat,Ahmedabad,Irrigation Facility,5951000,0,Sanctioned,Vendor Pvt Ltd 23,Implementing Agency 4,0.6068325931695414,0.5264002793213537,0.5666164362454476,0,True,High Risk,2,"days_rec_to_sanction, desc_generic_flag, agency_betweenness"
MPLADS-103958,MP_MAH_1,Maharashtra,Pune,Road Construction/Repair,17730769,9028200,Completed,Vendor Pvt Ltd 1,Implementing Agency 19,0.9045644239189602,0.22664073055301848,0.5656025772359894,1,True,High Risk,2,"vendor_work_count, vendor_total_amount, amount_zscore_in_category"
MPLADS-103932,MP_MAH_4,Maharashtra,Nagpur,Sanitation/Toilets,1027000,951791,Completed,Vendor Pvt Ltd 1,Implementing Agency 4,0.9155979677270347,0.21088147745989383,0.5632397225934642,1,True,High Risk,2,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-101675,MP_TAM_2,Tamil Nadu,Coimbatore,Street Lighting,410000,379980,Completed,Vendor Pvt Ltd 58,Implementing Agency 21,0.7299908831658046,0.3863474245556648,0.5581691538607347,1,True,High Risk,2,"days_sanction_to_completion, desc_generic_flag, network_risk_flag"
MPLADS-103946,MP_GUJ_1,Gujarat,Surat,Street Lighting,1299219,0,Sanctioned,Vendor Pvt Ltd 1,Implementing Agency 6,0.8887378935176882,0.21571669459864146,0.5522272940581648,1,True,High Risk,2,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-100861,MP_KER_1,Kerala,Kochi,Street Lighting,1271000,1196143,Completed,Vendor Pvt Ltd 18,Implementing Agency 27,0.6721724463154014,0.4252122791179878,0.5486923627166946,1,True,High Risk,2,"no_photo_flag, network_risk_flag, vendor_degree_centrality"
MPLADS-102838,MP_MAH_1,Maharashtra,Nashik,Road Construction/Repair,3106000,2881735,Completed,Vendor Pvt Ltd 48,Implementing Agency 46,0.6280054078254189,0.4596995280459567,0.5438524679356878,0,True,High Risk,2,"days_rec_to_sanction, days_sanction_to_completion, desc_generic_flag"
MPLADS-104544,MP_GUJ_4,Gujarat,Vadodara,Library/Reading Room,705000,468977,In Progress,Vendor Pvt Ltd 1,Implementing Agency 44,0.8971803285314053,0.18694088838449346,0.5420606084579493,1,True,High Risk,2,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-101141,MP_BIH_2,Bihar,Muzaffarpur,Sanitation/Toilets,1497000,1423841,Completed,Vendor Pvt Ltd 32,Implementing Agency 43,0.7418929630129075,0.33813170520292424,0.5400123341079159,1,True,High Risk,2,"desc_generic_flag, network_risk_flag, days_rec_to_sanction"
MPLADS-105328,MP_KER_3,Kerala,Kozhikode,Drinking Water Supply,4162000,0,Completed,Vendor Pvt Ltd 74,Implementing Agency 43,0.7008372232450683,0.37728295218829283,0.5390600877166806,1,True,High Risk,2,"no_photo_flag, network_risk_flag, agency_betweenness"
MPLADS-105025,MP_BIH_1,Bihar,Muzaffarpur,Anganwadi Center Construction,1171000,0,Sanctioned,Vendor Pvt Ltd 18,Implementing Agency 4,0.7703579974146175,0.30767702082452353,0.5390175091195706,1,True,High Risk,2,"desc_generic_flag, network_risk_flag, vendor_degree_centrality"
MPLADS-105943,MP_MAH_4,Maharashtra,Thane,Library/Reading Room,375000,364672,Completed,Vendor Pvt Ltd 3,Implementing Agency 52,0.6737075806362584,0.38974643166699985,0.531727006151629,1,True,High Risk,2,"days_rec_to_sanction, network_risk_flag, agency_betweenness"
MPLADS-105283,MP_TAM_2,Tamil Nadu,Madurai,Railway Halt Amenities,9932938,5807670,Completed,Vendor Pvt Ltd 1,Implementing Agency 44,0.9221140368912334,0.1375001598179446,0.5298070983545891,1,True,High Risk,2,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-104579,MP_DEL_1,Delhi,North Delhi,Solar Power Installation,2891000,2766748,Completed,Vendor Pvt Ltd 1,Implementing Agency 4,0.8951150563477459,0.15049512843154683,0.5228050923896463,1,True,High Risk,2,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-105098,MP_KAR_2,Karnataka,Hubli,Drinking Water Supply,357000,353284,Completed,Vendor Pvt Ltd 1,Implementing Agency 45,0.8875327959273662,0.1569262670816542,0.5222295315045102,1,True,High Risk,2,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-101024,MP_KAR_2,Karnataka,Hubli,CCTV Installation,940537,570674,Completed,Vendor Pvt Ltd 1,Implementing Agency 51,0.9051229701223694,0.13884475499310622,0.5219838625577378,1,True,High Risk,2,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-101027,MP_KAR_2,Karnataka,Hubli,Community Hall Construction,10389796,3122649,In Progress,Vendor Pvt Ltd 1,Implementing Agency 43,0.9050804045880109,0.13538756126869955,0.5202339829283552,1,True,High Risk,2,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-104878,MP_GUJ_1,Gujarat,Vadodara,Railway Halt Amenities,13063250,6359007,Completed,Vendor Pvt Ltd 1,Implementing Agency 14,0.9271462570530123,0.1091399817802628,0.5181431194166376,1,True,High Risk,2,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-101699,MP_BIH_1,Bihar,Muzaffarpur,Drinking Water Supply,2600000,0,Sanctioned,Vendor Pvt Ltd 4,Implementing Agency 25,0.7193277548154309,0.3159990560423398,0.5176634054288853,0,True,High Risk,2,"is_round_amount, desc_generic_flag, vendor_degree_centrality"
MPLADS-104915,MP_BIH_1,Bihar,Patna,Community Hall Construction,9765309,5315775,Completed,Vendor Pvt Ltd 1,Implementing Agency 44,0.9107884217153538,0.12323539637012403,0.5170119090427389,1,True,High Risk,2,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-101082,MP_BIH_1,Bihar,Patna,School Infrastructure,432000,0,Recommended,Vendor Pvt Ltd 18,Implementing Agency 44,0.7571034308408972,0.26646828582579357,0.5117858583333453,1,True,High Risk,2,"network_risk_flag, agency_work_count, days_rec_to_sanction"
MPLADS-102842,MP_MAH_1,Maharashtra,Nashik,Community Hall Construction,1385000,1314633,Completed,Vendor Pvt Ltd 81,Implementing Agency 52,0.6392010202525202,0.38318247857398535,0.5111917494132527,1,True,High Risk,2,"no_photo_flag, network_risk_flag, agency_betweenness"
MPLADS-103967,MP_KER_3,Kerala,Kozhikode,Health Facility Upgrade,1200000,0,Sanctioned,Vendor Pvt Ltd 85,Implementing Agency 43,0.7500926473074384,0.27189141269158357,0.510992029999511,1,True,High Risk,2,"is_round_amount, network_risk_flag, agency_betweenness"
MPLADS-101837,MP_GUJ_4,Gujarat,Vadodara,Street Lighting,1800000,1746791,In Progress,Vendor Pvt Ltd 64,Implementing Agency 52,0.7447176540962168,0.27723675254684793,0.5109772033215324,1,True,High Risk,2,"is_round_amount, network_risk_flag, agency_betweenness"
MPLADS-100546,MP_KAR_1,Karnataka,Hubli,Library/Reading Room,2127000,0,Sanctioned,Vendor Pvt Ltd 18,Implementing Agency 15,0.7657408137250405,0.2500318346044139,0.5078863241647272,1,True,High Risk,2,"network_risk_flag, agency_work_count, days_rec_to_sanction"
MPLADS-105992,MP_UTT_1,Uttar Pradesh,Meerut,Library/Reading Room,1574736,0,Sanctioned,Vendor Pvt Ltd 1,Implementing Agency 13,0.8835097610225419,0.12614823806612596,0.5048289995443339,1,True,High Risk,2,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-103085,MP_TAM_1,Tamil Nadu,Chennai,Sanitation/Toilets,1421000,0,Sanctioned,Vendor Pvt Ltd 16,Implementing Agency 43,0.7867908029635843,0.2216499504262083,0.5042203766948963,1,True,High Risk,2,"desc_generic_flag, network_risk_flag, agency_betweenness"
MPLADS-105026,MP_GUJ_3,Gujarat,Surat,CCTV Installation,3319751,0,Sanctioned,Vendor Pvt Ltd 1,Implementing Agency 4,0.9094357249217603,0.09680734460524834,0.5031215347635043,1,True,High Risk,2,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-103942,MP_GUJ_1,Gujarat,Ahmedabad,Solar Power Installation,598000,299000,In Progress,Vendor Pvt Ltd 16,Implementing Agency 52,0.7369314005588542,0.2686139204743883,0.5027726605166213,1,True,High Risk,2,"network_risk_flag, days_sanction_to_completion, agency_betweenness"
MPLADS-102985,MP_TAM_2,Tamil Nadu,Madurai,Anganwadi Center Construction,508000,407541,In Progress,Vendor Pvt Ltd 18,Implementing Agency 49,0.7535643995987511,0.23733214353034982,0.49544827156455046,1,True,Medium Risk,3,"desc_generic_flag, network_risk_flag, vendor_degree_centrality"
MPLADS-101054,MP_MAH_2,Maharashtra,Nashik,CCTV Installation,1226000,1141571,Completed,Vendor Pvt Ltd 95,Implementing Agency 43,0.624580187710217,0.3646049787824159,0.4945925832463164,1,True,Medium Risk,3,"no_photo_flag, network_risk_flag, agency_betweenness"
MPLADS-105324,MP_BIH_1,Bihar,Gaya,Sanitation/Toilets,1433000,951495,In Progress,Vendor Pvt Ltd 58,Implementing Agency 44,0.7156412564388233,0.273112573738209,0.4943769150885161,1,True,Medium Risk,3,"desc_generic_flag, network_risk_flag, agency_work_count"
MPLADS-101545,MP_UTT_2,Uttar Pradesh,Kanpur,Solar Power Installation,4005354,2919340,Completed,Vendor Pvt Ltd 1,Implementing Agency 18,0.8897960474411749,0.09228959532860148,0.4910428213848882,1,True,Medium Risk,3,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-100199,MP_RAJ_2,Rajasthan,Kota,Road Construction/Repair,4888000,1535737,Completed,Vendor Pvt Ltd 31,Implementing Agency 4,0.6812969773777084,0.29937034080663144,0.49033365909216997,0,True,Medium Risk,3,"no_photo_flag, desc_generic_flag, agency_betweenness"
MPLADS-102387,MP_KER_3,Kerala,Kozhikode,Library/Reading Room,1643000,1594281,Completed,Vendor Pvt Ltd 1,Implementing Agency 4,0.8700041075452989,0.11001624548888427,0.49001017651709156,1,True,Medium Risk,3,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-103164,MP_UTT_2,Uttar Pradesh,Meerut,Street Lighting,259000,259000,Completed,Vendor Pvt Ltd 66,Implementing Agency 14,0.6625983927370159,0.31671248590584944,0.4896554393214327,0,True,Medium Risk,3,"no_photo_flag, desc_generic_flag, amount_zscore_in_category"
MPLADS-103841,MP_WES_1,West Bengal,Howrah,Anganwadi Center Construction,471000,468447,Completed,Vendor Pvt Ltd 74,Implementing Agency 12,0.6654286295137783,0.3125555053290679,0.4889920674214231,0,True,Medium Risk,3,"no_photo_flag, desc_generic_flag, days_rec_to_sanction"
MPLADS-105544,MP_DEL_1,Delhi,South Delhi,Street Lighting,1700000,1580823,Completed,Vendor Pvt Ltd 43,Implementing Agency 43,0.7561079286451605,0.2218520399390154,0.48897998429208794,1,True,Medium Risk,3,"is_round_amount, network_risk_flag, agency_betweenness"
MPLADS-100724,MP_RAJ_2,Rajasthan,Kota,Sports Infrastructure,2512000,2508971,Completed,Vendor Pvt Ltd 1,Implementing Agency 13,0.8634088325436828,0.11412050229526828,0.48876466741947555,1,True,Medium Risk,3,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-100411,MP_WES_1,West Bengal,Malda,School Infrastructure,4166000,4083837,Completed,Vendor Pvt Ltd 70,Implementing Agency 52,0.7132397049573853,0.2625557154304605,0.4878977101939229,1,True,Medium Risk,3,"desc_generic_flag, network_risk_flag, days_sanction_to_completion"
MPLADS-103320,MP_RAJ_1,Rajasthan,Jodhpur,Irrigation Facility,5507976,2596964,In Progress,Vendor Pvt Ltd 1,Implementing Agency 13,0.850063177460785,0.12060547892012544,0.4853343281904552,1,True,Medium Risk,3,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-102048,MP_WES_1,West Bengal,Malda,Street Lighting,1036000,0,Recommended,Vendor Pvt Ltd 58,Implementing Agency 53,0.6561511667643556,0.312099606851932,0.48412538680814377,1,True,Medium Risk,3,"desc_generic_flag, network_risk_flag, vendor_degree_centrality"
MPLADS-103920,MP_UTT_2,Uttar Pradesh,Agra,Community Hall Construction,7329000,0,Recommended,Vendor Pvt Ltd 18,Implementing Agency 3,0.7218840257136595,0.24575916815806398,0.48382159693586174,1,True,Medium Risk,3,"desc_generic_flag, network_risk_flag, vendor_degree_centrality"
MPLADS-104756,MP_KAR_3,Karnataka,Bengaluru,Sports Infrastructure,5818962,4095687,Completed,Vendor Pvt Ltd 1,Implementing Agency 24,0.8734388920695034,0.08985851999734867,0.481648706033426,1,True,Medium Risk,3,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-104716,MP_GUJ_1,Gujarat,Surat,Railway Halt Amenities,1200000,1192152,Completed,Vendor Pvt Ltd 14,Implementing Agency 52,0.7199634829212466,0.23894580109047375,0.4794546420058602,1,True,Medium Risk,3,"is_round_amount, network_risk_flag, agency_betweenness"
MPLADS-105374,MP_KER_4,Kerala,Kozhikode,Library/Reading Room,2100000,0,Sanctioned,Vendor Pvt Ltd 81,Implementing Agency 52,0.6984364195016709,0.2583628897067502,0.4783996546042105,1,True,Medium Risk,3,"is_round_amount, network_risk_flag, agency_betweenness"
MPLADS-103836,MP_TAM_1,Tamil Nadu,Chennai,Sports Infrastructure,4394000,4253433,Completed,Vendor Pvt Ltd 58,Implementing Agency 41,0.694601701391254,0.25825323118614507,0.47642746628869953,1,True,Medium Risk,3,"desc_generic_flag, network_risk_flag, vendor_degree_centrality"
MPLADS-102124,MP_RAJ_2,Rajasthan,Jodhpur,CCTV Installation,2603963,1624743,Completed,Vendor Pvt Ltd 1,Implementing Agency 35,0.8635231865976497,0.08788551237484456,0.4757043494862471,1,True,Medium Risk,3,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-105853,MP_GUJ_2,Gujarat,Vadodara,Drinking Water Supply,1200000,1140748,Completed,Vendor Pvt Ltd 28,Implementing Agency 52,0.7014499920071695,0.24898330252443715,0.4752166472658033,1,True,Medium Risk,3,"is_round_amount, network_risk_flag, agency_betweenness"
MPLADS-105178,MP_RAJ_2,Rajasthan,Jaipur,Sanitation/Toilets,200000,0,Recommended,Vendor Pvt Ltd 111,Implementing Agency 38,0.6899956897304459,0.25828635121898197,0.47414102047471396,0,True,Medium Risk,3,"is_round_amount, desc_generic_flag, amount_zscore_in_category"
MPLADS-100555,MP_TAM_1,Tamil Nadu,Coimbatore,Anganwadi Center Construction,512000,450068,In Progress,Vendor Pvt Ltd 18,Implementing Agency 24,0.6956030894905264,0.2524586234253464,0.4740308564579364,1,True,Medium Risk,3,"desc_generic_flag, network_risk_flag, vendor_degree_centrality"
MPLADS-103647,MP_DEL_2,Delhi,South Delhi,School Infrastructure,8309192,5565168,Completed,Vendor Pvt Ltd 1,Implementing Agency 22,0.8739776952912136,0.06918843192357195,0.47158306360739277,1,True,Medium Risk,3,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-105808,MP_KAR_3,Karnataka,Hubli,Sports Infrastructure,7332620,4631895,Completed,Vendor Pvt Ltd 1,Implementing Agency 42,0.8629388635774282,0.07310644483311014,0.4680226542052692,1,True,Medium Risk,3,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-101700,MP_KER_3,Kerala,Kozhikode,Library/Reading Room,3458674,0,Recommended,Vendor Pvt Ltd 1,Implementing Agency 29,0.8695733080761914,0.06383673863085934,0.4667050233535254,1,True,Medium Risk,3,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-103891,MP_UTT_2,Uttar Pradesh,Varanasi,Community Hall Construction,2347000,2283467,Completed,Vendor Pvt Ltd 7,Implementing Agency 26,0.5857826576130695,0.3473787245551319,0.4665806910841007,0,True,Medium Risk,3,"no_photo_flag, desc_generic_flag, amount_zscore_in_category"
MPLADS-104526,MP_UTT_2,Uttar Pradesh,Lucknow,CCTV Installation,862253,467943,Completed,Vendor Pvt Ltd 1,Implementing Agency 37,0.8600198416967219,0.07297102019289863,0.4664954309448102,1,True,Medium Risk,3,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-102097,MP_KER_4,Kerala,Kochi,Street Lighting,1555000,1542950,Completed,Vendor Pvt Ltd 1,Implementing Agency 34,0.8444903074041241,0.08795070006712717,0.4662205037356256,1,True,Medium Risk,3,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-101945,MP_UTT_1,Uttar Pradesh,Kanpur,Drinking Water Supply,4482000,4871277,Sanctioned,Vendor Pvt Ltd 35,Implementing Agency 43,0.6731294803370599,0.2573097864576851,0.4652196333973725,1,True,Medium Risk,3,"over_release_flag, network_risk_flag, agency_betweenness"
MPLADS-103419,MP_GUJ_1,Gujarat,Vadodara,Health Facility Upgrade,4792000,4565052,Completed,Vendor Pvt Ltd 1,Implementing Agency 14,0.8467551900340695,0.08002553818716757,0.4633903641106185,1,True,Medium Risk,3,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-100239,MP_BIH_1,Bihar,Muzaffarpur,Drinking Water Supply,2573000,2407221,Completed,Vendor Pvt Ltd 84,Implementing Agency 54,0.6239739522976704,0.2990367413211155,0.4615053468093929,0,True,Medium Risk,3,"no_photo_flag, desc_generic_flag, vendor_total_amount"
MPLADS-105940,MP_UTT_2,Uttar Pradesh,Lucknow,Irrigation Facility,853000,0,Sanctioned,Vendor Pvt Ltd 1,Implementing Agency 11,0.870041279043809,0.05170641947400075,0.4608738492589049,1,True,Medium Risk,3,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-100518,MP_WES_1,West Bengal,Malda,Sanitation/Toilets,1030000,1002094,Completed,Vendor Pvt Ltd 53,Implementing Agency 9,0.6589329882760215,0.2622388491913971,0.46058591873370935,0,True,Medium Risk,3,"no_photo_flag, desc_generic_flag, days_sanction_to_completion"
MPLADS-100804,MP_UTT_2,Uttar Pradesh,Kanpur,Anganwadi Center Construction,1465000,0,Sanctioned,Vendor Pvt Ltd 84,Implementing Agency 52,0.706330982476756,0.21248839245140647,0.45940968746408123,1,True,Medium Risk,3,"desc_generic_flag, network_risk_flag, agency_betweenness"
MPLADS-102913,MP_KER_4,Kerala,Kozhikode,Sanitation/Toilets,243057,158927,Completed,Vendor Pvt Ltd 1,Implementing Agency 26,0.8402168506223532,0.07361369151447755,0.45691527106841534,1,True,Medium Risk,3,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-105556,MP_MAH_4,Maharashtra,Nagpur,Health Facility Upgrade,1598000,0,Recommended,Vendor Pvt Ltd 77,Implementing Agency 52,0.6431096513329447,0.2620551583546637,0.4525824048438042,1,True,Medium Risk,3,"desc_generic_flag, network_risk_flag, agency_betweenness"
MPLADS-100873,MP_WES_1,West Bengal,Darjeeling,Road Construction/Repair,1765000,1691098,Completed,Vendor Pvt Ltd 18,Implementing Agency 1,0.6528464948371993,0.2515749381261613,0.45221071648168026,1,True,Medium Risk,3,"days_rec_to_sanction, network_risk_flag, vendor_degree_centrality"
MPLADS-101438,MP_KAR_1,Karnataka,Bengaluru,Library/Reading Room,3469191,2087188,Completed,Vendor Pvt Ltd 1,Implementing Agency 39,0.8495052366245223,0.05437203173424983,0.45193863417938607,1,True,Medium Risk,3,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
MPLADS-101038,MP_TAM_1,Tamil Nadu,Salem,Irrigation Facility,11051506,0,Recommended,Vendor Pvt Ltd 1,Implementing Agency 41,0.8404766026989875,0.06210659352896267,0.45129159811397507,1,True,Medium Risk,3,"vendor_work_count, vendor_total_amount, vendor_degree_centrality"
